0	1	54	9.90252e-07
2	0	66	6.55904e-07
4	0	43	9.54217e-07
6	0	44	7.25776e-07
8	0	26	9.99356e-07
10	0	17	8.79531e-07
12	0	33	8.17663e-07
14	0	29	4.9446e-07
16	0	23	9.66628e-07
18	0	23	9.43024e-07
20	1	22	9.37586e-07
22	0	22	4.47205e-07
24	0	22	9.36301e-07
26	0	22	8.92592e-07
28	0	22	9.20414e-07
30	0	22	8.59485e-07
32	0	22	9.44878e-07
34	0	22	6.66976e-07
36	0	22	7.69711e-07
38	0	22	8.21725e-07
40	1	30	9.65436e-07
42	0	27	9.75753e-07
44	0	24	9.17469e-07
46	0	26	9.00413e-07
48	0	25	7.87922e-07
50	0	22	9.21367e-07
52	0	23	6.4366e-07
54	0	31	9.86625e-07
56	0	26	8.7122e-07
58	0	23	9.89176e-07
60	1	21	9.10291e-07
62	0	24	7.76479e-07
64	0	21	7.87695e-07
66	0	21	8.80325e-07
68	0	24	8.45811e-07
70	0	23	9.70732e-07
72	0	23	9.03409e-07
74	0	24	8.8506e-07
76	0	23	9.25274e-07
78	0	25	9.03185e-07
80	1	22	9.89263e-07
82	0	27	6.35729e-07
84	0	22	8.74856e-07
86	0	26	8.87399e-07
88	0	27	2.79429e-07
90	0	27	3.32803e-07
92	0	27	3.09022e-07
94	0	28	4.90516e-07
96	0	26	8.30374e-07
