0	1	33	9.80406e-07
2	1	28	5.23534e-07
4	1	22	9.17899e-07
6	1	21	7.4705e-07
8	1	17	8.40385e-07
10	1	18	3.864e-07
12	1	23	4.9832e-07
14	1	21	3.8494e-07
16	1	23	4.16202e-07
18	1	23	6.58421e-07
20	1	20	7.93653e-07
22	1	12	8.70166e-07
24	1	18	3.14097e-07
26	1	16	4.41635e-07
28	1	11	8.86665e-07
30	1	12	9.68796e-07
32	1	11	9.30515e-07
34	1	11	4.88737e-07
36	1	13	9.56478e-07
38	1	11	4.6396e-07
40	1	11	8.13335e-07
42	1	11	7.97594e-07
44	1	11	8.50673e-07
46	1	12	5.60551e-07
48	1	13	3.74764e-07
50	1	11	9.55146e-07
52	1	12	8.36001e-07
54	1	12	8.36674e-07
56	1	11	9.6541e-07
58	1	12	9.86723e-07
60	1	12	8.14504e-07
62	1	16	9.70072e-07
64	1	14	7.08461e-07
66	1	15	2.53849e-07
68	1	18	7.75183e-07
70	1	18	7.76599e-07
72	1	12	8.66284e-07
74	1	19	8.05424e-07
76	1	13	9.96411e-07
78	1	13	4.1045e-07
80	1	12	7.47348e-07
82	1	13	8.86007e-07
84	1	14	6.41075e-07
86	1	14	5.27245e-07
88	1	15	7.26565e-07
90	1	13	9.86042e-07
92	1	13	9.69976e-07
94	1	18	9.59876e-07
96	1	13	9.73431e-07
