0	1	32	4.9134e-07
2	0	26	9.78416e-07
4	0	21	5.17109e-07
6	0	24	4.77995e-07
8	0	20	4.43624e-07
10	0	15	7.77741e-07
12	0	23	7.98367e-07
14	0	21	8.90778e-07
16	0	23	4.96757e-07
18	0	26	4.4745e-07
20	0	23	9.69749e-07
22	0	14	7.42812e-07
24	0	17	9.74954e-07
26	0	15	9.33859e-07
28	0	12	7.69243e-07
30	0	14	8.82808e-07
32	0	12	9.45768e-07
34	0	13	7.17794e-07
36	0	12	9.38671e-07
38	0	12	8.02758e-07
40	1	14	9.53818e-07
42	0	13	9.4006e-07
44	0	15	9.29658e-07
46	0	14	9.09447e-07
48	0	14	9.70766e-07
50	0	15	9.15118e-07
52	0	15	6.84131e-07
54	0	15	8.60699e-07
56	0	14	9.24765e-07
58	0	15	7.07894e-07
60	0	15	6.03425e-07
62	0	15	9.33702e-07
64	0	15	4.73943e-07
66	0	15	7.72255e-07
68	0	21	9.77062e-07
70	0	20	4.82009e-07
72	0	15	9.70038e-07
74	0	22	5.24394e-07
76	0	15	8.79003e-07
78	0	14	9.24628e-07
80	1	14	9.85949e-07
82	0	14	7.40662e-07
84	0	15	8.02966e-07
86	0	14	9.99778e-07
88	0	14	6.32001e-07
90	0	16	5.93013e-07
92	0	15	7.24725e-07
94	0	18	8.27419e-07
96	0	18	7.14726e-07
